audio_id	annotators	worst_score	Top-level (general_label_type)	Top-level (not including correct)	Top-level (not including correct, run-on, or contractions)	CORRECT+RUNONs+CONTRACTIONs	Phonological specifics combined	Orthographic specifics combined	Grammatical specifics combined	Structural specifics combined	Visual specifics combined	Disfluency specifics combined	All specifics combined	Intended word	Produced word	Mispronunciation IPA	Individual Top: Correct	Individual Top: Phonological Error	Individual Top: Orthographic Error	Individual Top: Grammatical Error	Individual Top: Structural Error	Individual Top: Visual Tracking Error	Individual Top: Disfluency Error	Individual Top: Whispering	Individual Top: Run-on	Individual Top: Contraction/Shortening	Individual Top: Unintelligible	Individual Top: Self Response	Individual Top: Other	Individual Phono Spec: Consonant Substitution	Individual Phono Spec: Vowel Substitution	Individual Phono Spec: Consonant Omission	Individual Phono Spec: Vowel Omission	Individual Phono Spec: Consonant Insertion	Individual Phono Spec: Vowel Insertion	Individual Phono Spec: Misplaced Stress	Individual Ortho Spec: Letter Reversal	Individual Ortho Spec: Left Right Tracking Substitution	Individual Ortho Spec: Phonological Substitution	Individual Ortho Spec: Contextual Substitution	Individual Ortho Spec: Unrelated Substitution	Individual Gram Spec: Omission	Individual Gram Spec: Substitution	Individual Gram Spec: Insertion	Individual Struct Spec: Word Omission	Individual Struct Spec: Word Insertion	Individual Visual Spec: Skip Line	Individual Visual Spec: Backtrack	Individual Visual Spec: Wrong Order	Individual Disfluency Spec: Stutter	Individual Disfluency Spec: Word Repetition	Individual Disfluency Spec: Repair	Individual Disfluency Spec: Broken Word	Individual Disfluency Spec: Prolongation	Individual Disfluency Spec: Interjection	Individual Disfluency Spec: Parent Correction	Individual Disfluency Spec: Parental Aid
https://2025storiza.michaelbennie.org/audio_clips/41.4_end_55.7_uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705.mp3	evanhalperin,rose.m	-0.379132	0.701190	-0.227891	-0.379132	0.843945	NaN	NaN	NaN	NaN	NaN	-0.023720	-0.045741	0.999606	NaN	NaN	0.837075	NaN	NaN	NaN	NaN	NaN	-0.006263	NaN	NaN	NaN	-0.075873	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.095862	NaN	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/42.1_end_45.9_uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_7n1Handdit8pBvWWWmNt_1741993555.mp3	claire.kuntz,lamanjennifer	-0.373935	0.512864	0.229943	0.240202	0.537843	0.275204	NaN	NaN	NaN	-0.052072	-0.038042	0.030773	0.660978	0.203793	0.269077	0.596681	1.000000	1.000000	NaN	NaN	-0.030619	0.041822	NaN	-0.047637	-0.172375	NaN	NaN	NaN	-0.081535	NaN	NaN	-0.053507	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.027119	-0.234242	NaN	-0.022033	-0.373935	NaN	NaN	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/11.2_end_18.3_uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_lz3I7DDQoORrxWnoDM8h_1741216155.mp3	claire.kuntz,rose.m	-0.357208	0.677027	0.251215	0.197248	0.630693	-0.015409	NaN	-0.000794	NaN	NaN	-0.328470	-0.218741	0.989003	-0.029303	-0.026288	0.583047	-0.013938	NaN	0.000000	NaN	NaN	0.446850	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.131625	-0.357208	NaN	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/53.7_end_66.6_uid_CjlD9aGvoSfMhsnUwRIQlMr4IFp1_sid_fPKMdj4jr6BedPXQV3mV_1742180701.mp3	claire.kuntz,rose.m	-0.347410	0.861027	0.456355	0.433549	0.857869	0.182896	NaN	-0.121824	NaN	NaN	NaN	0.191127	0.999949	0.615830	0.408533	0.856569	0.435730	1.000000	-0.154520	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.347410	0.622920	-0.029423	-0.175505	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.114626	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/46.4_end_55.0_uid_WXRuAJyMuAViHCpYPRVffOrexB03_sid_Ttc81IXIedFGPCeX9A2y_1741217243.mp3	evanhalperin,rose.m	-0.339357	0.328468	0.108521	0.108593	0.181889	0.999575	NaN	NaN	NaN	NaN	-0.280019	0.093561	0.996916	NaN	0.999602	0.141564	0.999589	NaN	NaN	NaN	NaN	-0.339357	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.999581	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.283738	NaN	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/59.0_end_63.3_uid_jWPmLFrSHDZItPTjjPUB8KAsjlq2_sid_7SPTn4kcDnVulcWfBGRR_1743880682.mp3	claire.kuntz,ghineae,rose.m	-0.333011	0.818543	-0.333011	-0.275415	0.812738	-0.026526	NaN	NaN	NaN	NaN	-0.098153	-0.303974	0.994977	NaN	-0.041220	0.811699	-0.018734	NaN	NaN	NaN	NaN	-0.093342	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.014631	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.071782	NaN	NaN	NaN	NaN	NaN	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/173.0_end_182.7_uid_ejZWulX03uRlAA3C5VqYK6jKNYs1_sid_WmRXbqI5CWDvZvwjQQzO_1741134602.mp3	claire.kuntz,emilianapulido	-0.331782	0.547019	0.157002	0.561019	0.426860	0.457974	NaN	NaN	NaN	NaN	1.000000	0.583050	0.999995	0.000000	0.466489	0.393929	0.557392	-0.032250	NaN	NaN	NaN	1.000000	NaN	-0.331782	NaN	NaN	NaN	NaN	-0.038603	0.757114	0.634996	0.400924	1.000000	-0.035687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000	1.000000	NaN	NaN	NaN	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/57.0_end_64.5_uid_Gt0cspsUtRSvEXXHZKUWlVAfyVq2_sid_Fg08PYTUetsEHAd5a7Su_1743619578.mp3	claire.kuntz,isabelapizarro	-0.318167	0.813007	-0.268680	-0.286985	0.809191	-0.149994	NaN	NaN	NaN	NaN	NaN	-0.154566	0.996056	NaN	-0.162262	0.804378	-0.318167	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.010473	NaN	-0.106180	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/89.9_end_105.4_uid_d4lLmJzVbJaLpyCuafResXOry3t2_sid_rcTNhF88C79EqtExGJfr_1742502803.mp3	emilianapulido,landonturner	-0.316543	0.644084	0.278807	0.450062	0.536287	0.627394	NaN	NaN	NaN	NaN	0.461420	0.459190	0.989970	-0.031285	0.466155	0.461358	0.576867	-0.049735	NaN	NaN	NaN	0.999769	NaN	-0.316543	NaN	NaN	NaN	NaN	NaN	0.776781	0.998992	NaN	NaN	-0.125207	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	-0.013283	NaN	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/84.9_end_98.9_uid_WXRuAJyMuAViHCpYPRVffOrexB03_sid_bq1I40IRipJTvbMVsQoS_1742945295.mp3	benjaminmcneill,claire.kuntz	-0.314346	0.764098	0.381738	0.394562	0.756207	-0.190940	NaN	NaN	NaN	NaN	-0.108343	0.138379	1.000000	NaN	-0.314346	0.754008	1.000000	NaN	NaN	NaN	NaN	-0.115573	NaN	NaN	NaN	NaN	NaN	NaN	-0.130574	NaN	1.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.059252	NaN	NaN	NaN	NaN
https://2025storiza.michaelbennie.org/audio_clips/88.9_end_103.1_uid_ihIoefKsGwTDai7fGs9x3DyNvju2_sid_jzm10IkIQSzqDuCCySbp_1743981904.mp3	claire.kuntz,landonturner	-0.295910	0.762048	0.473615	0.475832	0.885958	-0.156304	NaN	NaN	0.424867	NaN	0.056388	0.208573	0.963260	0.457038	-0.116317	0.884634	-0.144025	NaN	NaN	0.430854	NaN	0.474880	NaN	NaN	NaN	0.000000	NaN	NaN	NaN	-0.047684	-0.295910	-0.052269	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.406659	NaN	NaN	NaN	0.579218	0.104868	0.043563	NaN	NaN	NaN	NaN	NaN
